2018/19,,,,,,,,,,,
,Team,Position,Points,GD,Shots per game,Yellow Cards,Red Cards,,,GD,Points
,Bolton,,,,,,,,,,
,Bournemouth,,,,,,,,,,
,Brighton,,,,,,,,,,
,Burnley ,,,,,,,,,,
,Cardiff,,,,,,,,,,
,Chelsea,3,75,36,,,,,,36,75
,Crystal Palace,,,,,,,,,,
,Everton,6,63,15,,,,,,15,63
,Fulham,12,43,-10,,,,,,-10,43
,Huddersfield,,,,,,,,,,
,Hull,,,,,,,,,,
,Leicester,,,,,,,,,,
,Liverpool,7,61,28,,,,,,28,61
,Man City,2,78,32,,,,,,32,78
,Man United,1,89,43,,,,,,43,89
,Middlesbrough,,,,,,,,,,
,Newcastle,16,41,-23,,,,,,-23,41
,Norwich,11,44,-17,,,,,,-17,44
,Portsmouth,,,,,,,,,,
,QPR,20,25,-30,,,,,,-30,25
,Reading,19,28,-30,,,,,,-30,28
,Southampton,14,41,-11,,,,,,-11,41
,Stoke,13,42,-11,,,,,,-11,42
,Sunderland,17,39,-13,,,,,,-13,39
,Swansea,9,46,-4,,,,,,-4,46
,Tottenham,5,72,20,,,,,,20,72
,Watford,,,,,,,,,,
,West Brom,8,49,-4,,,,,,-4,49
,West Ham,10,46,-8,,,,,,-8,46
,Wigan,18,36,-26,,,,,,-26,36
,Wolves,,,,,,,,,,
2011/12,Arsenal,3,70,25,,,,,,25,70
,Aston Villa,16,38,-16,,,,,,-16,38
,Birmingham,,,,,,,,,,
,Blackburn,19,36,-30,,,,,,-30,36
,Blackpool,,,,,,,,,,
,Bolton,18,36,-31,,,,,,-31,36
,Bournemouth,,,,,,,,,,
,Brighton,,,,,,,,,,
,Burnley ,,,,,,,,,,
,Cardiff,,,,,,,,,,
,Chelsea,6,64,19,,,,,,19,64
,Crystal Palace,7,56,10,,,,,,10,56
,Everton,,,,,,,,,,
,Fulham,9,52,-3,,,,,,-3,52
,Huddersfield,,,,,,,,,,
,Hull,,,,,,,,,,
,Leicester,,,,,,,,,,
,Liverpool,8,52,7,,,,,,7,52
,Man City,1,89,64,,,,,,64,89
,Man United,2,89,56,,,,,,56,89
,Middlesbrough,,,,,,,,,,
,Newcastle,5,65,5,,,,,,5,65
,Norwich,12,47,-14,,,,,,-14,47
,Portsmouth,,,,,,,,,,
,QPR,17,37,-23,,,,,,-23,37
,Reading,,,,,,,,,,
,Southampton,,,,,,,,,,
,Stoke,14,45,-17,,,,,,-17,45
,Sunderland,13,45,-1,,,,,,-1,45
,Swansea,11,47,-7,,,,,,-7,47
,Tottenham,4,69,25,,,,,,25,69
,Watford,,,,,,,,,,
,West Brom,10,47,-14,,,,,,-14,47
,West Ham,,,,,,,,,,
,Wigan,15,43,-20,,,,,,-20,43
,Wolves,20,25,-42,,,,,,-42,25
2010/11,Arsenal,4,68,29,,,,,,29,68
,Aston Villa,9,48,-11,,,,,,-11,48
,Birmingham,18,39,-21,,,,,,-21,39
,Blackburn,15,43,-13,,,,,,-13,43
,Blackpool,19,39,-23,,,,,,-23,39
,Bolton,14,46,-4,,,,,,-4,46
,Bournemouth,,,,,,,,,,
,Brighton,,,,,,,,,,
,Burnley ,,,,,,,,,,
,Cardiff,,,,,,,,,,
,Chelsea,2,71,36,,,,,,36,71
,Crystal Palace,,,,,,,,,,
,Everton,7,54,6,,,,,,6,54
,Fulham,8,49,6,,,,,,6,49
,Huddersfield,,,,,,,,,,
,Hull,,,,,,,,,,
,Leicester,,,,,,,,,,
,Liverpool,6,58,15,,,,,,15,58
,Man City,3,71,27,,,,,,27,71
,Man United,1,80,41,,,,,,41,80
,Middlesbrough,,,,,,,,,,
,Newcastle,12,46,-1,,,,,,-1,46
,Norwich,,,,,,,,,,
,Portsmouth,,,,,,,,,,
,QPR,,,,,,,,,,
,Reading,,,,,,,,,,
,Southampton,,,,,,,,,,
,Stoke,13,46,-2,,,,,,-2,46
,Sunderland,10,47,-11,,,,,,-11,47
,Swansea,,,,,,,,,,
,Tottenham,5,62,9,,,,,,9,62
,Watford,,,,,,,,,,
,West Brom,11,47,-15,,,,,,-15,47
,West Ham,20,33,-27,,,,,,-27,33
,Wigan,16,42,-21,,,,,,-21,42
,Wolves,17,40,-20,,,,,,-20,40
